nv,Alg,avgDegree,sampleSize,AP,AR,AHP,AHR,SHD,F1All,F1Arrow,F1Adj
30,1,2.00,100.00,0.88,0.40,0.53,0.08,38.79,0.05,0.18,0.55
30,2,2.00,100.00,0.78,0.41,0.29,0.09,44.04,0.03,0.14,0.54
30,3,2.00,100.00,0.63,0.48,0.21,0.12,51.50,0.03,0.15,0.54
100,1,2.00,100.00,0.85,0.41,0.52,0.11,132.10,0.05,0.18,0.55
100,2,2.00,100.00,0.70,0.41,0.25,0.09,159.63,0.02,0.13,0.51
100,3,2.00,100.00,0.47,0.48,0.12,0.11,227.13,0.01,0.11,0.47
30,1,2.00,200.00,0.92,0.51,0.73,0.15,31.79,0.10,0.26,0.65
30,2,2.00,200.00,0.79,0.56,0.35,0.16,39.26,0.06,0.22,0.65
30,3,2.00,200.00,0.66,0.63,0.26,0.20,47.33,0.05,0.22,0.65
100,1,2.00,200.00,0.93,0.52,0.75,0.17,104.08,0.11,0.27,0.67
100,2,2.00,200.00,0.73,0.57,0.30,0.17,140.53,0.05,0.21,0.64
100,3,2.00,200.00,0.51,0.63,0.15,0.15,220.94,0.02,0.15,0.56
30,1,2.00,300.00,0.95,0.64,0.82,0.26,24.42,0.20,0.38,0.76
30,2,2.00,300.00,0.79,0.66,0.39,0.23,35.97,0.10,0.29,0.72
30,3,2.00,300.00,0.67,0.71,0.29,0.24,44.73,0.08,0.26,0.69
100,1,2.00,300.00,0.95,0.62,0.83,0.27,84.56,0.20,0.40,0.75
100,2,2.00,300.00,0.73,0.64,0.31,0.20,135.95,0.06,0.24,0.68
100,3,2.00,300.00,0.52,0.70,0.16,0.19,219.04,0.03,0.17,0.60
30,1,2.00,400.00,0.96,0.68,0.83,0.34,22.14,0.26,0.47,0.79
30,2,2.00,400.00,0.78,0.69,0.39,0.26,35.34,0.11,0.31,0.73
30,3,2.00,400.00,0.67,0.75,0.30,0.27,44.02,0.09,0.29,0.71
100,1,2.00,400.00,0.96,0.67,0.87,0.34,72.53,0.27,0.49,0.79
100,2,2.00,400.00,0.73,0.69,0.34,0.24,129.74,0.09,0.28,0.71
100,3,2.00,400.00,0.53,0.74,0.16,0.20,219.19,0.03,0.18,0.61
30,1,2.00,500.00,0.97,0.69,0.87,0.33,20.38,0.28,0.47,0.81
30,2,2.00,500.00,0.78,0.73,0.42,0.29,33.38,0.13,0.34,0.75
30,3,2.00,500.00,0.68,0.78,0.33,0.31,42.48,0.11,0.32,0.72
100,1,2.00,500.00,0.97,0.69,0.89,0.36,67.83,0.30,0.51,0.81
100,2,2.00,500.00,0.74,0.73,0.36,0.27,125.04,0.10,0.31,0.73
100,3,2.00,500.00,0.53,0.78,0.18,0.23,215.53,0.04,0.20,0.63
30,1,2.00,600.00,0.97,0.73,0.90,0.39,18.00,0.34,0.53,0.83
30,2,2.00,600.00,0.77,0.75,0.45,0.33,33.20,0.16,0.38,0.76
30,3,2.00,600.00,0.67,0.79,0.34,0.33,42.98,0.12,0.33,0.72
100,1,2.00,600.00,0.97,0.72,0.90,0.41,61.47,0.34,0.56,0.83
100,2,2.00,600.00,0.73,0.76,0.36,0.29,124.81,0.11,0.32,0.74
100,3,2.00,600.00,0.53,0.80,0.18,0.24,218.66,0.04,0.21,0.64
30,1,2.00,700.00,0.97,0.76,0.89,0.42,16.70,0.37,0.56,0.85
30,2,2.00,700.00,0.77,0.77,0.44,0.34,32.97,0.16,0.38,0.77
30,3,2.00,700.00,0.67,0.81,0.33,0.33,42.32,0.12,0.33,0.73
100,1,2.00,700.00,0.98,0.75,0.93,0.45,54.45,0.39,0.60,0.85
100,2,2.00,700.00,0.73,0.78,0.38,0.31,120.08,0.13,0.34,0.75
100,3,2.00,700.00,0.54,0.81,0.19,0.26,213.70,0.05,0.22,0.65
30,1,2.00,800.00,0.98,0.78,0.90,0.46,15.13,0.40,0.60,0.87
30,2,2.00,800.00,0.76,0.79,0.43,0.34,33.45,0.16,0.38,0.77
30,3,2.00,800.00,0.67,0.82,0.33,0.34,42.80,0.12,0.34,0.74
100,1,2.00,800.00,0.98,0.77,0.93,0.46,49.63,0.42,0.62,0.87
100,2,2.00,800.00,0.73,0.79,0.39,0.33,121.11,0.13,0.36,0.76
100,3,2.00,800.00,0.53,0.83,0.19,0.27,216.25,0.05,0.22,0.65
30,1,2.00,900.00,0.98,0.80,0.91,0.47,13.94,0.43,0.61,0.88
30,2,2.00,900.00,0.77,0.80,0.45,0.36,31.82,0.17,0.39,0.78
30,3,2.00,900.00,0.67,0.84,0.34,0.35,42.69,0.13,0.34,0.74
100,1,2.00,900.00,0.98,0.79,0.93,0.50,46.22,0.45,0.65,0.88
100,2,2.00,900.00,0.72,0.80,0.39,0.35,121.09,0.14,0.37,0.76
100,3,2.00,900.00,0.53,0.84,0.19,0.27,215.09,0.05,0.23,0.65
30,1,2.00,1000.00,0.98,0.82,0.91,0.50,12.99,0.46,0.64,0.89
30,2,2.00,1000.00,0.75,0.81,0.44,0.37,32.71,0.17,0.40,0.78
30,3,2.00,1000.00,0.66,0.84,0.34,0.36,42.85,0.13,0.34,0.74
100,1,2.00,1000.00,0.99,0.80,0.95,0.51,43.05,0.47,0.66,0.89,5.20
100,2,2.00,1000.00,0.72,0.81,0.39,0.36,120.56,0.15,0.37,0.76,0.08
100,3,2.00,1000.00,0.53,0.84,0.20,0.28,216.98,0.06,0.23,0.65,0.20
